City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
191,segovia,41.1667,-4.0,56.21,68,100,2.66,ES,1651348391
192,havre,49.5833,0.3333,50.4,76,0,6.91,FR,1651348392
193,abu samrah,35.3029,37.1841,66.04,68,7,9.4,SY,1651348392
194,tirumullaivasal,11.2333,79.8333,84.42,81,72,12.41,IN,1651348393
195,port lincoln,-34.7333,135.8667,58.5,84,22,8.32,AU,1651348393
196,victoria,22.2855,114.1577,77.32,87,100,15.01,HK,1651348394
197,baglan,36.1307,68.7083,76.26,41,5,2.3,AF,1651348394
198,dalhousie,32.5333,75.9833,60.24,37,94,11.1,IN,1651348395
199,buraydah,26.326,43.975,82.85,33,1,11.59,SA,1651348395
200,noumea,-22.2763,166.4572,77.0,99,74,10.69,NC,1651348395
201,manicore,-5.8092,-61.3003,84.99,69,49,0.85,BR,1651348396
202,katangli,51.7102,143.2326,30.07,98,100,5.99,RU,1651348396
203,coquimbo,-29.9533,-71.3436,58.73,77,20,12.66,CL,1651348397
204,guangyuan,32.442,105.823,51.53,63,100,4.72,CN,1651348397
205,gornopravdinsk,60.05,69.9,29.66,73,8,4.32,RU,1651348398
206,netanya,32.3329,34.8599,67.05,87,0,15.64,IL,1651348398
207,aklavik,68.2191,-135.0107,44.6,53,75,8.05,CA,1651348399
208,chifeng,42.2683,118.9636,44.24,22,98,4.92,CN,1651348399
209,port elizabeth,-33.918,25.5701,61.09,78,0,16.11,ZA,1651348400
210,pisco,-13.7,-76.2167,71.65,64,0,10.36,PE,1651348298
211,arkhara,49.4212,130.0842,39.18,75,100,4.7,RU,1651348400
212,tiksi,71.6872,128.8694,34.25,89,100,17.16,RU,1651348401
213,pitimbu,-7.4706,-34.8086,82.99,75,95,13.89,BR,1651348393
214,yulara,-25.2406,130.9889,60.64,63,100,9.22,AU,1651348401
215,makubetsu,45.3714,141.8211,37.94,52,93,6.71,JP,1651348402
216,dryden,49.7833,-92.7503,53.89,37,75,14.97,CA,1651348402
217,sao jose da coroa grande,-8.8978,-35.1478,78.75,75,100,8.28,BR,1651348402
218,kapit,2.0167,112.9333,75.15,98,100,0.94,MY,1651348403
219,harboore,56.6175,8.1807,43.18,72,98,4.7,DK,1651348403
220,banes,20.9625,-75.7186,81.61,61,17,15.03,CU,1651348404
221,abha,18.2164,42.5053,66.02,68,0,6.91,SA,1651348404
222,sorland,67.667,12.6934,37.27,64,25,7.56,NO,1651348324
223,puerto el triunfo,13.2833,-88.55,87.28,63,96,11.7,SV,1651348405
224,ilheus,-14.7889,-39.0494,84.02,74,20,6.91,BR,1651348405
225,saint george,37.1041,-113.5841,81.79,13,0,8.05,US,1651348253
226,kirakira,-10.4544,161.9205,80.24,80,100,2.04,SB,1651348406
227,tautira,-17.7333,-149.15,79.92,75,58,14.34,PF,1651348221
228,canutama,-6.5339,-64.3831,81.64,89,98,1.48,BR,1651348406
